Sex_b,Age_pre,Pclass,Embarked_S,Embarked_C,SibSp,Parch,Fare,Cabin_null,Cabin_C,Cabin_E,Cabin_G,Cabin_D,Cabin_A,Cabin_B,Cabin_F,Cabin_T,Name_Miss,Name_Mrs,Name_Master,Name_Col,Name_Major,Name_Mr,Name_Dr,Name_Don,Name_Sir,Ticket_num,Ticket_cat,Survived
0,22.0,3,1,0,1,0,7.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21171,0,0
1,38.0,1,0,0,1,0,71.2833,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,17599,1,1
1,26.0,3,1,0,0,0,7.925,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3101282,2,1
1,35.0,1,1,0,1,0,53.1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,113803,3,1
0,35.0,3,1,0,0,0,8.05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,373450,4,0
0,29.0,3,0,1,0,0,8.4583,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,330877,5,0
0,54.0,1,1,0,0,0,51.8625,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17463,6,0
0,2.0,3,1,0,3,1,21.075,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,349909,7,0
1,27.0,3,1,0,0,2,11.1333,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,347742,8,1
1,14.0,2,0,0,1,0,30.0708,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,237736,9,1
1,4.0,3,1,0,1,1,16.7,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9549,10,1
1,58.0,1,1,0,0,0,26.55,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,113783,11,1
0,20.0,3,1,0,0,0,8.05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2151,12,0
0,39.0,3,1,0,1,5,31.275,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,347082,13,0
1,14.0,3,1,0,0,0,7.8542,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,350406,14,0
1,55.0,2,1,0,0,0,16.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,248706,15,1
0,2.0,3,0,1,4,1,29.125,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,382652,16,0
0,29.0,2,1,0,0,0,13.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,244373,17,1
1,31.0,3,1,0,1,0,18.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,345763,18,0
1,29.0,3,0,0,0,0,7.225,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2649,19,1
0,35.0,2,1,0,0,0,26.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,239865,20,0
0,34.0,2,1,0,0,0,13.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,248698,21,1
1,15.0,3,0,1,0,0,8.0292,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,330923,22,1
0,28.0,1,1,0,0,0,35.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,113788,23,1
1,8.0,3,1,0,3,1,21.075,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,349909,7,0
1,38.0,3,1,0,1,5,31.3875,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,347077,24,1
0,29.0,3,0,0,0,0,7.225,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2631,25,0
0,19.0,1,1,0,3,2,263.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19950,26,0
1,29.0,3,0,1,0,0,7.8792,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,330959,27,1
0,29.0,3,1,0,0,0,7.8958,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,349216,28,0
0,40.0,1,0,0,0,0,27.7208,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17601,29,0
1,29.0,1,0,0,1,0,146.5208,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,17569,30,1
1,29.0,3,0,1,0,0,7.75,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,335677,31,1
0,66.0,2,1,0,0,0,10.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24579,32,0
0,28.0,1,0,0,1,0,82.1708,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17604,33,0
0,42.0,1,1,0,1,0,52.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,113789,34,0
0,29.0,3,0,0,0,0,7.2292,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2677,35,1
0,21.0,3,1,0,0,0,8.05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2152,36,0
1,18.0,3,1,0,2,0,18.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,345764,37,0
1,14.0,3,0,0,1,0,11.2417,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2651,38,1
1,40.0,3,1,0,1,0,9.475,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7546,39,0
1,27.0,2,1,0,1,0,21.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,11668,40,0
0,29.0,3,0,0,0,0,7.8958,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,349253,41,0
1,3.0,2,0,0,1,2,41.5792,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2123,42,1
1,19.0,3,0,1,0,0,7.8792,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,330958,43,1
0,29.0,3,1,0,0,0,8.05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23567,44,0
0,29.0,3,0,1,1,0,15.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,370371,45,0
1,29.0,3,0,1,0,0,7.75,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,14311,46,1
0,29.0,3,0,0,2,0,21.6792,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2662,47,0
1,18.0,3,1,0,1,0,17.8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,349237,48,0
0,7.0,3,1,0,4,1,39.6875,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3101295,49,0
0,21.0,3,1,0,0,0,7.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,39886,50,0
1,49.0,1,0,0,1,0,76.7292,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,17572,51,1
1,29.0,2,1,0,1,0,26.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2926,52,1
0,65.0,1,0,0,0,1,61.9792,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,113509,53,0
0,29.0,1,1,0,0,0,35.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19947,54,1
1,21.0,2,1,0,0,0,10.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,31026,55,1
0,28.5,3,0,0,0,0,7.2292,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2697,56,0
1,5.0,2,1,0,1,2,27.75,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,34651,57,1
0,11.0,3,1,0,5,2,46.9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2144,58,0
0,22.0,3,0,0,0,0,7.2292,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2669,59,0
1,38.0,1,0,0,0,0,80.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,113572,60,1
0,45.0,1,1,0,1,0,83.475,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,36973,61,0
0,4.0,3,1,0,3,2,27.9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,347088,62,0
0,29.0,1,0,0,0,0,27.7208,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17605,63,0
0,29.0,3,0,0,1,1,15.2458,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2661,64,1
1,29.0,2,1,0,0,0,10.5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,29395,65,1
0,19.0,3,1,0,0,0,8.1583,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3464,66,0
1,17.0,3,1,0,4,2,7.925,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3101281,67,1
0,26.0,3,1,0,2,0,8.6625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,315151,68,0
0,32.0,2,1,0,0,0,10.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,33111,69,0
1,16.0,3,1,0,5,2,46.9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2144,58,0
0,21.0,2,1,0,0,0,73.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14879,70,0
0,26.0,3,0,0,1,0,14.4542,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2680,71,0
0,32.0,3,1,0,0,0,56.4958,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1601,72,1
0,25.0,3,1,0,0,0,7.65,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,348123,73,0
0,29.0,3,1,0,0,0,7.8958,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,349208,74,0
